"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","8,659.37","8,651.53","8,699.59","8,649.44","347.10M","-0.01%"
"Dec 14, 2020","8,660.31","8,644.47","8,660.31","8,632.52","315.50M","0.18%"
"Dec 13, 2020","8,644.47","8,643.97","8,680.98","8,633.77","321.96M","0.01%"
"Dec 10, 2020","8,643.97","8,660.21","8,667.98","8,637.23","338.73M","-0.19%"
"Dec 09, 2020","8,660.21","8,612.13","8,663.86","8,613.57","367.76M","0.56%"
"Dec 08, 2020","8,612.13","8,633.38","8,636.37","8,584.49","391.85M","-0.25%"
"Dec 07, 2020","8,633.38","8,581.68","8,633.38","8,536.92","369.44M","0.60%"
"Dec 06, 2020","8,581.68","8,674.97","8,703.33","8,580.92","376.34M","-1.08%"
"Dec 03, 2020","8,674.97","8,694.13","8,691.96","8,638.27","352.91M","-0.22%"
"Dec 02, 2020","8,694.13","8,722.12","8,720.33","8,658.75","357.24M","-0.32%"
"Dec 01, 2020","8,722.12","8,747.09","8,731.36","8,692.59","649.87M","-0.29%"
"Nov 30, 2020","8,747.09","8,708.59","8,747.09","8,660.72","505.90M","0.44%"
"Nov 29, 2020","8,708.59","8,713.91","8,730.30","8,695.11","444.73M","0.17%"
"Nov 26, 2020","8,693.47","8,688.76","8,693.47","8,608.45","487.46M","0.05%"
"Nov 25, 2020","8,688.76","8,636.14","8,721.45","8,667.60","533.91M","0.61%"
"Nov 24, 2020","8,636.14","8,610.84","8,675.36","8,618.84","496.53M","0.29%"
"Nov 23, 2020","8,610.84","8,588.17","8,623.69","8,547.51","483.85M","0.26%"
"Nov 22, 2020","8,588.17","8,578.42","8,629.18","8,580.83","452.25M","0.11%"
"Nov 19, 2020","8,578.42","8,621.19","8,616.23","8,571.47","429.89M","-0.50%"
"Nov 18, 2020","8,621.19","8,572.73","8,621.19","8,548.28","529.22M","0.57%"
"Nov 17, 2020","8,572.73","8,526.64","8,582.48","8,534.19","551.70M","0.54%"
"Nov 16, 2020","8,526.64","8,501.58","8,526.64","8,458.45","507.40M","0.29%"
"Nov 15, 2020","8,501.58","8,434.90","8,507.67","8,454.27","456.27M","0.79%"
"Nov 12, 2020","8,434.90","8,449.66","8,449.94","8,409.17","346.24M","-0.17%"
"Nov 11, 2020","8,449.66","8,405.04","8,453.01","8,376.97","407.55M","0.53%"
"Nov 10, 2020","8,405.04","8,366.46","8,510.68","8,326.01","618.92M","0.46%"
"Nov 09, 2020","8,366.46","8,160.35","8,366.46","8,178.33","440.96M","2.53%"
"Nov 08, 2020","8,160.35","8,089.15","8,160.35","8,065.27","287.36M","0.88%"
"Nov 05, 2020","8,089.15","8,088.73","8,091.58","8,029.84","262.88M","0.01%"
"Nov 04, 2020","8,088.73","7,998.59","8,118.73","8,046.48","319.79M","1.13%"
"Nov 03, 2020","7,998.59","8,021.02","8,082.83","7,998.59","291.33M","-0.28%"
"Nov 02, 2020","8,021.02","7,864.78","8,032.99","7,874.30","305.73M","1.99%"
"Nov 01, 2020","7,864.78","7,907.72","7,920.53","7,842.69","229.68M","-0.54%"
"Oct 29, 2020","7,907.72","8,123.05","8,039.41","7,907.72","356.35M","-2.65%"
"Oct 28, 2020","8,123.05","8,198.90","8,223.60","8,113.19","319.83M","-0.93%"
"Oct 27, 2020","8,198.90","8,155.31","8,198.90","8,101.02","318.75M","0.53%"
"Oct 26, 2020","8,155.31","8,154.59","8,267.09","8,020.41","498.72M","0.01%"
"Oct 25, 2020","8,154.59","8,505.18","8,487.49","8,154.59","364.10M","-4.12%"
"Oct 22, 2020","8,505.18","8,496.85","8,505.18","8,439.43","324.88M","0.10%"
