Date,Price,Open,High,Low,Vol.,Change %
"Aug 24, 2020","8,508.39","8,792.15","8,978.16","8,444.08",228.77K,-3.23%
"Aug 23, 2020","8,792.15","8,349.49","8,861.61","8,362.82",426.17K,5.30%
"Aug 20, 2020","8,349.49","8,298.64","8,429.82","8,255.93",352.65K,0.61%
"Aug 19, 2020","8,298.64","8,129.90","8,405.87","8,137.64",705.87K,2.08%
"Aug 18, 2020","8,129.90","8,549.43","8,507.75","7,930.10",355.56K,-4.91%
"Aug 17, 2020","8,549.43","8,192.43","8,700.15","8,058.05",569.57K,4.36%
"Aug 16, 2020","8,192.43","7,938.82","8,250.56","7,954.27",742.35K,3.19%
"Aug 13, 2020","7,938.82","7,956.36","8,146.34","7,938.82",352.45K,-0.22%
"Aug 12, 2020","7,956.36","8,196.13","8,197.80","7,765.19",120.77K,-2.93%
"Aug 11, 2020","8,196.13","8,177.20","8,196.51","8,081.56",310.36K,0.23%
"Aug 10, 2020","8,177.20","8,186.50","8,214.64","8,124.52",167.84K,-0.11%
"Aug 09, 2020","8,186.50","8,124.04","8,245.50","8,040.90",407.6K,0.77%
"Aug 06, 2020","8,124.04","8,127.13","8,169.52","8,070.80",205.94K,-0.04%
"Aug 05, 2020","8,127.13","8,095.75","8,180.19","8,044.18",211.79K,0.39%
"Jul 28, 2020","8,095.75","8,083.66","8,123.15","7,970.47",243.63K,0.15%
"Jul 27, 2020","8,083.66","8,123.85","8,149.72","8,071.55",176.6K,-0.49%
"Jul 26, 2020","8,123.85","8,145.47","8,214.87","8,092.47",143.81K,-0.27%
"Jul 23, 2020","8,145.47","8,269.17","8,313.41","8,145.47",395.77K,-1.50%
"Jul 22, 2020","8,269.17","8,257.38","8,293.38","8,118.07",428.62K,0.14%
"Jul 21, 2020","8,257.38","7,669.36","8,286.52","7,694.35",607.66K,7.67%
"Jul 20, 2020","7,669.36","8,316.80","8,308.88","7,565.70",304.55K,-7.78%
"Jul 19, 2020","8,316.80","8,180.48","8,361.31","8,190.64",252.85K,1.67%
"Jul 16, 2020","8,180.48","8,229.62","8,261.10","8,180.48",319.45K,-0.60%
"Jul 15, 2020","8,229.62","7,883.27","8,279.04","8,170.44",210.45K,4.39%
"Jul 14, 2020","7,883.27","8,331.04","8,343.83","7,883.27",196.1K,-5.37%
"Jul 13, 2020","8,331.04","8,270.36","8,373.15","8,268.66",237.62K,0.73%
"Jul 12, 2020","8,270.36","8,329.60","8,349.32","8,171.09",261.35K,-0.71%
"Jul 09, 2020","8,329.60","8,359.12","8,376.31","8,274.69",342.4K,-0.35%
"Jul 08, 2020","8,359.12","8,286.59","8,605.53","8,169.47",538.9K,0.88%
"Jul 07, 2020","8,286.59","8,147.46","8,298.08","8,092.56",772.02K,1.71%
"Jul 06, 2020","8,147.46","8,050.23","8,155.32","7,740.16",296.58K,1.21%
"Jul 05, 2020","8,050.23","7,926.51","8,050.23","7,804.70",325.81K,1.56%
"Jul 02, 2020","7,926.51","7,841.61","8,206.01","7,839.96",367.53K,1.08%
"Jul 01, 2020","7,841.61","8,017.57","8,136.89","7,828.22",154.61K,-2.19%
"Jun 30, 2020","8,017.57","7,758.25","8,078.11","7,656.90",208.1K,3.34%
